date,value
15.03.2023,0.1335
14.03.2023,0.1329
13.03.2023,0.1331
10.03.2023,0.1333
09.03.2023,0.1338
08.03.2023,0.1354
07.03.2023,0.1352
06.03.2023,0.1343
03.03.2023,0.1354
02.03.2023,0.1362
01.03.2023,0.1367
28.02.2023,0.1359
27.02.2023,0.1347
24.02.2023,0.1352
23.02.2023,0.1352
22.02.2023,0.1351
21.02.2023,0.1349
20.02.2023,0.1347
17.02.2023,0.1346
16.02.2023,0.1348
15.02.2023,0.1347
